년도,분기,행정동_코드,행정동_코드_명,월평균소득금액,지출총금액
2020,2,11215810,광장동,5284540,3647892000
2020,2,11215820,자양1동,2745988,4537716000
2020,2,11215830,자양2동,2999213,3175608000
2020,2,11215840,자양3동,4353416,3958027000
2020,2,11215847,자양4동,2795134,6840665000
2020,2,11215850,구의1동,2683701,3886415000
2020,2,11215860,구의2동,2948328,3715859000
2020,2,11215870,구의3동,4010979,10069445000
2020,2,11230536,용신동,2894254,12649873000
2020,2,11230545,제기동,2792227,6807935000
2020,2,11230560,전농1동,3070695,4573029000
2020,2,11230570,전농2동,3136080,1590744000
2020,2,11230600,답십리1동,3538405,3659218000
2020,2,11230610,답십리2동,3049260,4401232000
2020,2,11230650,장안1동,2863708,9697847000
2020,2,11230660,장안2동,2920490,10256540000
2020,2,11230705,청량리동,2860315,3256529000
2020,2,11230710,회기동,3217279,9504914000
2020,2,11230720,휘경1동,2722774,2962242000
2020,2,11230730,휘경2동,3071586,1777606000
2020,2,11230740,이문1동,3000929,2490712000
2020,2,11230750,이문2동,3137841,1339010000
2020,2,11260520,면목2동,2322173,3126822000
2020,2,11260540,면목4동,2573570,813072000
2020,2,11260550,면목5동,2233073,1559089000
2020,2,11260565,면목본동,2336892,3647301000
2020,2,11260570,면목7동,2655671,3433443000
2020,2,11260575,면목3?8동,2354962,3500797000
2020,2,11260580,상봉1동,2969913,3372314000
2020,2,11260590,상봉2동,2575432,10412167000
2020,2,11260600,중화1동,2518956,1339681000
2020,2,11260610,중화2동,2253552,3868013000
2020,2,11260620,묵1동,3120718,3791749000
2020,2,11260630,묵2동,2533867,2957254000
2020,2,11260655,망우본동,2443681,6854736000
2020,2,11260660,망우3동,2231082,1189442000
2020,2,11260680,신내1동,2780491,4797136000
2020,2,11260690,신내2동,3060535,3442413000
2020,2,11290525,성북동,3470748,3094367000
2020,2,11290555,삼선동,3057377,5184454000
2020,2,11290575,동선동,2821008,9592958000
2020,2,11290580,돈암1동,3583117,997025000
2020,2,11290590,돈암2동,4297592,754179000
2020,2,11290600,안암동,2896471,4554650000
2020,2,11290610,보문동,3162623,2629366000
2020,2,11290620,정릉1동,3341356,1443637000
2020,2,11290630,정릉2동,2934717,2809408000
2020,2,11290640,정릉3동,2482564,1246597000
2020,2,11290650,정릉4동,3038165,2996182000
2020,2,11290660,길음1동,4462339,4349372000
2020,2,11290685,길음2동,3736133,5363973000
2020,2,11290705,종암동,3381883,5116959000
2020,2,11290715,월곡1동,3294213,2826496000
2020,2,11290725,월곡2동,3138026,5061642000
2020,2,11290760,장위1동,2231978,1389620000
2020,2,11290770,장위2동,2411293,1911942000
2020,2,11290780,장위3동,3113825,1162068000
2020,2,11290810,석관동,2864182,5014767000
2020,2,11305534,삼양동,2473211,2828332000
2020,2,11305535,미아동,2318870,4316951000
2020,2,11305545,송중동,2555447,8756504000
2020,2,11305555,송천동,2444557,4391441000
2020,2,11305575,삼각산동,3734477,2429597000
2020,2,11305595,번1동,2303972,5927218000
2020,2,11305603,번2동,2308539,730423000
2020,2,11305608,번3동,2548326,2112821000
2020,2,11305615,수유1동,2220463,3592381000
2020,2,11305625,수유2동,2577008,1601876000
2020,2,11305635,수유3동,2205999,9325071000
2020,2,11305645,우이동,2457144,2836819000
2020,2,11305660,인수동,2359990,2090966000
2020,2,11320511,창1동,3038009,2965202000
2020,2,11320512,창2동,2551630,2661140000
2020,2,11320513,창3동,2229423,1052327000
