연도,분기,행정동_코드,행정동_코드_명,abs_q,프랜차이즈_점포_수,임대시세_per_m2,개업_점포_수,교통시설_수,의료시설_수,교육시설_수,상업시설_수,공공시설_수,임대료대비수익성,개업률_QoQ_diff,개업률_YoY_diff,개업률_diff_roll4,추정매출액_QoQ_diff,추정매출액_YoY_diff,추정매출액_diff_roll4,총_유동인구_수_QoQ_diff,총_유동인구_수_YoY_diff,총_유동인구_수_diff_roll4,IS_RENT_MISSING,Y
2021,1,11215850,구의1동,4,139,87818,43,17.0,9.0,3.0,0.0,6.0,580018.1510624245,-0.3400000000000003,-1.1300000000000003,-0.2825000000000001,3008578858.0,5308713779.0,1327178444.75,103267.0,1367013.0,341753.25,0,0.18254597853623222
2021,1,11215860,구의2동,4,90,90254,27,25.0,10.0,6.0,0.0,5.0,292965.7302612627,-2.84,-0.9299999999999997,-0.23249999999999993,1657175307.0,6463826874.0,1615956718.5,-151810.0,-1249768.0,-312442.0,0,-0.1470798738220407
2021,1,11215870,구의3동,4,220,111936,51,27.0,16.0,3.0,2.0,9.0,1184571.3000732563,-1.1199999999999999,-1.16,-0.29,-10350570294.0,-3507148492.0,-876787123.0,134798.0,568668.0,142167.0,0,0.3686737063020824
2021,1,11230536,용신동,4,188,81930,74,46.0,25.0,4.0,6.0,18.0,1028785.4508604907,-0.08999999999999986,-1.04,-0.26,2115792069.0,7887242086.0,1971810521.5,-141175.0,-360662.0,-90165.5,0,0.4812873615014566
2021,1,11230545,제기동,4,73,109443,59,31.0,23.0,8.0,17.0,9.0,4811275.564485623,-0.17999999999999994,-0.6199999999999999,-0.15499999999999997,120655820915.0,190623044364.0,47655761091.0,-120089.0,71322.0,17830.5,0,0.7088027237387343
2021,1,11230560,전농1동,4,193,83681,68,38.0,14.0,6.0,6.0,7.0,537999.3916062189,0.11999999999999966,-0.45999999999999996,-0.11499999999999999,16134712290.0,20222696170.0,5055674042.5,-332631.0,-498585.0,-124646.25,0,0.1159133913101774
2021,1,11230570,전농2동,4,85,89616,20,15.0,12.0,36.0,0.0,4.0,159021.7900374933,-1.6899999999999995,-1.0899999999999999,-0.27249999999999996,2693883375.0,2880668737.0,720167184.25,-1267.0,91784.0,22946.0,0,-0.3162504750631242
2021,1,11230600,답십리1동,4,94,95816,39,25.0,9.0,3.0,0.0,9.0,300473.10920931783,-0.5299999999999998,-0.9700000000000002,-0.24250000000000005,3628066033.0,8443871231.0,2110967807.75,-128755.0,-427199.0,-106799.75,0,0.2531729842200621
2021,1,11230610,답십리2동,4,83,79994,36,19.0,15.0,4.0,3.0,5.0,315844.7798959922,-0.009999999999999787,-0.6799999999999997,-0.16999999999999993,5140730181.0,5124091806.0,1281022951.5,-191917.0,-692662.0,-173165.5,0,0.10946468381227915
2021,1,11230650,장안1동,4,202,77419,81,44.0,30.0,6.0,0.0,16.0,1324518.8053320243,-0.36999999999999966,-1.25,-0.3125,-8403843237.0,2147359588.0,536839897.0,109107.0,-755811.0,-188952.75,0,0.5024279565843311
