연도,분기,구이름,행정동_코드,행정동_코드_명,등록인구_수,시군구_코드
2020,1,강동구,11740650,성내2동,25187,11740
2020,1,강동구,11740640,성내1동,20468,11740
2020,1,강동구,11740520,상일동,27636,11740
2020,1,강동구,11740540,명일2동,17589,11740
2020,1,강동구,11740530,명일1동,26538,11740
2020,1,강동구,11740700,둔촌2동,27520,11740
2020,1,강동구,11740685,길동,46063,11740
2020,1,강동구,11740560,고덕2동,21130,11740
2020,1,강동구,11740550,고덕1동,26753,11740
2020,1,강동구,11740515,강일동,31982,11740
2020,2,종로구,11110650,혜화동,19956,11110
2020,2,종로구,11110560,평창동,18696,11110
2020,2,종로구,11110515,청운효자동,12855,11110
2020,2,종로구,11110690,창신3동,7189,11110
2020,2,종로구,11110680,창신2동,9654,11110
2020,2,종로구,11110670,창신1동,6016,11110
2020,2,종로구,11110630,종로56가동,5800,11110
2020,2,종로구,11110615,종로1234가동,8526,11110
2020,2,종로구,11110640,이화동,8336,11110
2020,2,종로구,11110710,숭인2동,9987,11110
2020,2,종로구,11110700,숭인1동,6494,11110
2020,2,종로구,11110540,삼청동,2973,11110
2020,2,종로구,11110530,사직동,9787,11110
2020,2,종로구,11110550,부암동,10421,11110
2020,2,종로구,11110570,무악동,8691,11110
2020,2,종로구,11110580,교남동,10686,11110
2020,2,종로구,11110600,가회동,4453,11110
2020,2,중구,11140540,회현동,5814,11140
2020,2,중구,11140670,황학동,13721,11140
2020,2,중구,11140570,필동,4837,11140
2020,2,중구,11140645,청구동,14354,11140
2020,2,중구,11140680,중림동,12896,11140
2020,2,중구,11140580,장충동,5528,11140
2020,2,중구,11140605,을지로동,1993,11140
2020,2,중구,11140635,약수동,17579,11140
2020,2,중구,11140615,신당동,9206,11140
2020,2,중구,11140650,신당5동,11002,11140
2020,2,중구,11140520,소공동,3045,11140
2020,2,중구,11140550,명동,3693,11140
2020,2,중구,11140665,동화동,10943,11140
2020,2,중구,11140625,다산동,14956,11140
2020,2,중구,11140590,광희동,6463,11140
2020,2,용산구,11170510,후암동,18354,11170
2020,2,용산구,11170580,효창동,10387,11170
2020,2,용산구,11170685,한남동,23969,11170
2020,2,용산구,11170625,한강로동,19940,11170
2020,2,용산구,11170555,청파동,20664,11170
2020,2,용산구,11170660,이태원2동,10826,11170
2020,2,용산구,11170650,이태원1동,9153,11170
2020,2,용산구,11170640,이촌2동,8887,11170
2020,2,용산구,11170630,이촌1동,29329,11170
2020,2,용산구,11170570,원효로2동,14491,11170
