연도,분기,행정동_코드,행정동_코드_명,유사_업종_점포_수,개업_점포_수,폐업_점포_수,프랜차이즈_점포_수
2020,2,11260610,중화2동,1296,52,33,97
2020,2,11260620,묵1동,1118,43,26,107
2020,2,11260630,묵2동,925,35,25,57
2020,2,11260655,망우본동,1791,71,55,153
2020,2,11260660,망우3동,550,19,16,37
2020,2,11260680,신내1동,1222,48,29,131
2020,2,11260690,신내2동,715,20,15,87
2020,2,11290525,성북동,974,25,16,65
2020,2,11290555,삼선동,1431,40,34,100
2020,2,11290575,동선동,1866,66,50,256
2020,2,11290580,돈암1동,380,11,6,23
2020,2,11290590,돈암2동,453,16,2,35
2020,2,11290600,안암동,1094,30,18,184
2020,2,11290610,보문동,732,21,15,61
2020,2,11290620,정릉1동,577,22,13,52
2020,2,11290630,정릉2동,649,24,17,62
2020,2,11290640,정릉3동,489,13,6,55
2020,2,11290650,정릉4동,720,25,19,73
2020,2,11290660,길음1동,873,33,22,106
2020,2,11290685,길음2동,1027,44,25,95
2020,2,11290705,종암동,1363,27,27,130
2020,2,11290715,월곡1동,879,29,19,80
2020,2,11290725,월곡2동,1080,35,30,124
2020,2,11290760,장위1동,621,10,15,36
2020,2,11290770,장위2동,722,26,20,31
2020,2,11290780,장위3동,457,19,9,38
2020,2,11290810,석관동,1410,38,22,121
2020,2,11305534,삼양동,680,20,18,62
2020,2,11305535,미아동,1238,49,31,101
2020,2,11305545,송중동,1787,72,36,192
2020,2,11305555,송천동,1394,56,52,117
2020,2,11305575,삼각산동,723,32,18,75
2020,2,11305595,번1동,1361,54,38,111
2020,2,11305603,번2동,331,12,5,19
2020,2,11305608,번3동,395,10,7,53
2020,2,11305615,수유1동,1066,51,28,52
2020,2,11305625,수유2동,832,28,26,54
2020,2,11305635,수유3동,2106,110,62,197
2020,2,11305645,우이동,805,36,17,61
2020,2,11305660,인수동,1021,47,22,67
2020,2,11320511,창1동,782,24,17,80
2020,2,11320512,창2동,903,23,13,66
2020,2,11320513,창3동,614,19,9,32
2020,2,11320514,창4동,972,36,18,89
2020,2,11320515,창5동,1128,31,19,132
2020,2,11320521,도봉1동,1125,32,22,89
2020,2,11320522,도봉2동,909,28,21,44
2020,2,11320660,쌍문1동,556,11,9,49
2020,2,11320670,쌍문2동,915,29,26,88
2020,2,11320680,쌍문3동,736,22,12,62
2020,2,11320681,쌍문4동,437,12,13,42
2020,2,11320690,방학1동,1798,69,53,177
2020,2,11320700,방학2동,773,33,15,39
2020,2,11320710,방학3동,520,21,8,40
2020,2,11350560,월계1동,1072,30,25,144
2020,2,11350570,월계2동,509,23,14,42
2020,2,11350580,월계3동,704,67,11,75
2020,2,11350595,공릉1동,2102,69,43,189
2020,2,11350600,공릉2동,1376,56,38,195
2020,2,11350611,하계1동,877,35,15,95
2020,2,11350612,하계2동,283,6,4,20
2020,2,11350619,중계본동,1160,30,27,95
2020,2,11350621,중계1동,979,31,12,144
2020,2,11350624,중계4동,836,29,17,87
2020,2,11350625,중계2·3동,1208,30,23,123
2020,2,11350630,상계1동,1509,45,30,141
2020,2,11350640,상계2동,2684,117,74,275
2020,2,11350665,상계3·4동,837,31,14,45
2020,2,11350670,상계5동,1207,45,23,72
2020,2,11350695,상계6·7동,1516,52,25,170
2020,2,11350700,상계8동,410,12,9,36
2020,2,11350710,상계9동,446,18,9,42
2020,2,11350720,상계10동,317,11,3,22
2020,2,11380510,녹번동,1275,63,25,101
2020,2,11380520,불광1동,1333,36,44,132
2020,2,11380530,불광2동,1062,31,30,55
2020,2,11380551,갈현1동,1300,57,40,132
