연도,분기,행정동_코드,행정동_코드_명,당월_매출_금액
2020,1,11140590,광희동,5333976099
2020,1,11140590,광희동,301125235
2020,1,11140590,광희동,93320982
2020,1,11140590,광희동,2367500316
2020,1,11140605,을지로동,12430171114
2020,1,11140605,을지로동,670125442
2020,1,11140605,을지로동,163950766
2020,1,11140605,을지로동,97993060
2020,1,11140605,을지로동,424834111
2020,1,11140605,을지로동,26527363
2020,1,11140605,을지로동,268624262
2020,1,11140605,을지로동,552306405
2020,1,11140605,을지로동,2572282489
2020,1,11140605,을지로동,1631369716
2020,1,11140605,을지로동,1541812148
2020,1,11140605,을지로동,831446886
2020,1,11140605,을지로동,234383244
2020,1,11140605,을지로동,144523169
2020,1,11140605,을지로동,61346504
2020,1,11140605,을지로동,158251928
2020,1,11140605,을지로동,632365028
2020,1,11140605,을지로동,743315963
2020,1,11140605,을지로동,3071460704
2020,1,11140605,을지로동,666172697
2020,1,11140605,을지로동,10116542
2020,1,11140605,을지로동,2845714964
2020,1,11140605,을지로동,15118395523
2020,1,11140605,을지로동,100563539
2020,1,11140605,을지로동,33381540
2020,1,11140605,을지로동,12797365
