연도,분기,행정동_코드,행정동_코드_명,집객시설_수,관공서_수,은행_수,종합병원_수,일반_병원_수,약국_수,유치원_수,초등학교_수,중학교_수,고등학교_수,대학교_수,백화점_수,슈퍼마켓_수,극장_수,숙박_시설_수,공항_수,철도_역_수,버스_터미널_수,지하철_역_수,버스_정거장_수
2020,1,11260610,중화2동,123,2.0,3.0,,,14.0,,,,,,,2.0,,,,,,3.0,32.0
2020,1,11260620,묵1동,144,4.0,2.0,,2.0,11.0,2.0,1.0,2.0,2.0,,,,,,,,,,34.0
2020,1,11260630,묵2동,92,3.0,4.0,,,7.0,,2.0,,,,,,1.0,,,,,1.0,19.0
2020,1,11260655,망우본동,238,9.0,4.0,1.0,4.0,25.0,1.0,2.0,3.0,4.0,,,9.0,,2.0,,,,2.0,54.0
2020,1,11260660,망우3동,54,1.0,1.0,,1.0,3.0,,2.0,,1.0,,,3.0,,,,,,,11.0
2020,1,11260680,신내1동,160,3.0,2.0,1.0,,13.0,2.0,2.0,,,,,,,,,,,1.0,53.0
2020,1,11260690,신내2동,104,6.0,3.0,,,12.0,3.0,4.0,,,,,,,,,,,,21.0
2020,1,11290525,성북동,166,6.0,4.0,,,6.0,2.0,1.0,3.0,2.0,5.0,,,,,,,,,55.0
2020,1,11290555,삼선동,163,7.0,5.0,,,14.0,,1.0,1.0,2.0,14.0,,,,,,,,2.0,46.0
2020,1,11290575,동선동,146,1.0,4.0,,1.0,13.0,1.0,2.0,2.0,1.0,12.0,,,1.0,,,,,1.0,19.0
2020,1,11290580,돈암1동,42,1.0,,,,2.0,2.0,2.0,2.0,1.0,,,,,,,,,,15.0
2020,1,11290590,돈암2동,88,4.0,2.0,,,4.0,6.0,1.0,,,,,,1.0,,,,,,38.0
2020,1,11290600,안암동,167,4.0,6.0,1.0,1.0,10.0,,1.0,1.0,1.0,71.0,,,,,,,,1.0,35.0
2020,1,11290610,보문동,77,4.0,4.0,,,6.0,,2.0,,,,,,,1.0,,,,2.0,10.0
2020,1,11290620,정릉1동,63,2.0,,,,6.0,2.0,,,,1.0,,,,,,,,,19.0
2020,1,11290630,정릉2동,110,4.0,3.0,,,6.0,1.0,2.0,,,,,,,,,,,1.0,50.0
2020,1,11290640,정릉3동,124,4.0,1.0,,,2.0,,1.0,3.0,1.0,28.0,,,,,,,,,38.0
2020,1,11290650,정릉4동,133,7.0,3.0,,,12.0,2.0,1.0,,2.0,11.0,,,,,,,,1.0,40.0
2020,1,11290660,길음1동,129,3.0,4.0,,,10.0,2.0,3.0,1.0,1.0,,,1.0,,,,,,1.0,26.0
2020,1,11290685,길음2동,112,5.0,,,3.0,14.0,,,,,,,,,,,,,,23.0
2020,1,11290705,종암동,189,7.0,2.0,,1.0,17.0,3.0,2.0,2.0,1.0,2.0,,,,,,,,,56.0
2020,1,11290715,월곡1동,108,2.0,3.0,,,10.0,,2.0,1.0,1.0,,,,,1.0,,,,,30.0
2020,1,11290725,월곡2동,135,6.0,4.0,,,12.0,2.0,,1.0,,12.0,,,,,,,,2.0,34.0
2020,1,11290760,장위1동,103,4.0,1.0,,,8.0,6.0,1.0,1.0,,,,,,,,,,,37.0
2020,1,11290770,장위2동,89,3.0,2.0,,,11.0,1.0,3.0,,,,,,,,,,,1.0,27.0
2020,1,11290780,장위3동,82,1.0,,,,5.0,1.0,2.0,1.0,,1.0,,1.0,,,,,,,39.0
2020,1,11290810,석관동,154,6.0,3.0,,,16.0,2.0,2.0,1.0,1.0,,,1.0,,2.0,,,,2.0,32.0
2020,1,11305534,삼양동,165,4.0,1.0,,,14.0,3.0,2.0,,1.0,,,,,,,,,3.0,34.0
2020,1,11305535,미아동,144,3.0,3.0,,1.0,14.0,,,,1.0,4.0,,,,,,,,1.0,28.0
2020,1,11305545,송중동,212,4.0,1.0,,2.0,18.0,4.0,2.0,,1.0,2.0,1.0,,1.0,,,,,,69.0
2020,1,11305555,송천동,164,9.0,5.0,,1.0,17.0,,1.0,2.0,2.0,,,2.0,,,,,,1.0,24.0
2020,1,11305575,삼각산동,114,2.0,1.0,,,9.0,1.0,,1.0,1.0,1.0,,,,,,,,,36.0
2020,1,11305595,번1동,136,3.0,3.0,,1.0,14.0,1.0,1.0,1.0,,,,,1.0,,,,,,30.0
2020,1,11305603,번2동,110,5.0,,,,7.0,1.0,,1.0,,,,,,1.0,,,,,54.0
2020,1,11305608,번3동,95,3.0,1.0,,,8.0,,2.0,,,,,,,,,,,,37.0
2020,1,11305615,수유1동,153,4.0,2.0,,,12.0,,2.0,3.0,1.0,,,1.0,,,,,,1.0,40.0
2020,1,11305625,수유2동,85,3.0,,,,12.0,3.0,,,,,,,,,,,,1.0,15.0
2020,1,11305635,수유3동,158,4.0,6.0,,1.0,16.0,,,1.0,,,,,1.0,,,,,1.0,30.0
2020,1,11305645,우이동,132,2.0,,,,7.0,1.0,,1.0,,2.0,,,,,,,,3.0,54.0
2020,1,11305660,인수동,175,13.0,2.0,1.0,2.0,14.0,2.0,2.0,2.0,,5.0,,1.0,,,,,,,57.0
2020,1,11320511,창1동,94,3.0,2.0,,,7.0,1.0,1.0,2.0,1.0,,,,,,,,,1.0,28.0
2020,1,11320512,창2동,95,3.0,,,1.0,8.0,1.0,1.0,,,,,,,,,,,,44.0
2020,1,11320513,창3동,66,1.0,,,,7.0,1.0,2.0,,,,,1.0,,,,,,,25.0
2020,1,11320514,창4동,130,7.0,4.0,,,8.0,1.0,2.0,1.0,2.0,,,,,,,,,,51.0
2020,1,11320515,창5동,119,7.0,3.0,,3.0,12.0,1.0,3.0,,,,,,2.0,,,,,2.0,24.0
2020,1,11320521,도봉1동,122,4.0,1.0,,,9.0,2.0,2.0,1.0,1.0,2.0,,1.0,,,,,,,38.0
2020,1,11320522,도봉2동,127,8.0,3.0,,,7.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,,3.0,49.0
2020,1,11320660,쌍문1동,126,6.0,1.0,,1.0,4.0,1.0,3.0,,1.0,17.0,,,,,,,,,54.0
2020,1,11320670,쌍문2동,87,3.0,1.0,,1.0,10.0,1.0,1.0,1.0,,,,,,2.0,,,,,19.0
2020,1,11320680,쌍문3동,78,3.0,3.0,1.0,,12.0,,,1.0,,,,,,1.0,,,,1.0,17.0
2020,1,11320681,쌍문4동,64,1.0,,,,4.0,5.0,2.0,2.0,3.0,,,,,,,,,,23.0
2020,1,11320690,방학1동,148,6.0,6.0,,2.0,15.0,2.0,1.0,1.0,1.0,,,,,,,,,1.0,39.0
2020,1,11320700,방학2동,64,3.0,,,,7.0,,1.0,1.0,,,,,,,,,,,23.0
2020,1,11320710,방학3동,112,3.0,3.0,,,6.0,3.0,3.0,1.0,,,,,,,,,,,47.0
2020,1,11350560,월계1동,159,4.0,2.0,,,10.0,2.0,1.0,1.0,1.0,17.0,,,,,,,,,59.0
2020,1,11350570,월계2동,136,4.0,,,,5.0,3.0,2.0,3.0,4.0,11.0,,,,,,,,1.0,64.0
2020,1,11350580,월계3동,135,5.0,3.0,,,8.0,4.0,3.0,1.0,,,,,,,,,,2.0,47.0
2020,1,11350595,공릉1동,211,4.0,6.0,,4.0,21.0,3.0,3.0,,,1.0,,1.0,,,,,,3.0,54.0
2020,1,11350600,공릉2동,271,7.0,6.0,1.0,,14.0,3.0,4.0,4.0,2.0,64.0,,1.0,,,,,,1.0,63.0
2020,1,11350611,하계1동,133,4.0,3.0,1.0,,9.0,1.0,1.0,2.0,4.0,16.0,,,,,,,,,41.0
2020,1,11350612,하계2동,67,2.0,1.0,,,4.0,2.0,2.0,1.0,,,,,,,,,,1.0,28.0
2020,1,11350619,중계본동,95,5.0,2.0,,,7.0,3.0,2.0,,3.0,,,,,,,,,,21.0
2020,1,11350621,중계1동,85,2.0,3.0,,,7.0,,2.0,1.0,2.0,,,,,,,,,,18.0
2020,1,11350624,중계4동,81,2.0,3.0,,,14.0,1.0,1.0,3.0,2.0,,,,,,,,,,6.0
2020,1,11350625,중계2?3동,142,7.0,2.0,,,10.0,4.0,4.0,1.0,3.0,,,,2.0,,,,,1.0,39.0
2020,1,11350630,상계1동,190,5.0,2.0,,,14.0,3.0,3.0,2.0,1.0,,,,1.0,,,,,1.0,38.0
2020,1,11350640,상계2동,182,2.0,1.0,,2.0,19.0,1.0,1.0,1.0,,,,,1.0,,,,,2.0,33.0
2020,1,11350665,상계3?4동,107,4.0,1.0,,,9.0,3.0,2.0,,,1.0,,,,2.0,,,,1.0,11.0
2020,1,11350670,상계5동,105,2.0,1.0,,,11.0,,1.0,,,,,,,3.0,,,,1.0,36.0
