연도,분기,NM,행정동_코드,전체,1층,1층외,영역_면적
2020,2,구산동,11380560,83529,103211,63846,1389775
2020,2,구의1동,11215850,86788,108732,64845,565313
2020,2,구의2동,11215860,89557,118544,60570,1388041
2020,2,구의3동,11215870,114788,134399,95177,1027561
2020,2,군자동,11215730,81073,110375,51771,738025
2020,2,금호1가동,11200590,116249,125042,107456,444872
2020,2,금호23가동,11200615,103770,126159,81381,631196
2020,2,금호4가동,11200620,95313,121639,68988,832333
2020,2,길동,11740685,91782,115506,68058,1631616
2020,2,길음1동,11290660,133005,164501,101508,797310
2020,2,길음2동,11290685,113491,140956,86025,588002
2020,2,낙성대동,11620585,108696,137546,79846,2262818
2020,2,난곡동,11620775,92745,128676,56815,972373
2020,2,난향동,11620715,86092,105507,66676,821397
2020,2,남가좌1동,11410690,111707,133985,89429,475536
2020,2,남가좌2동,11410700,81373,117254,45491,783775
2020,2,남영동,11170530,94193,120790,67595,1177788
2020,2,남현동,11620630,124518,158590,90447,3281024
2020,2,내곡동,11650660,118856,154196,83515,12708880
2020,2,노량진1동,11590510,131660,173989,89331,1613446
2020,2,노량진2동,11590520,133923,149362,118485,600568
2020,2,녹번동,11380510,86787,104302,69272,1794215
2020,2,논현1동,11680521,131157,159334,102981,1258744
2020,2,논현2동,11680531,124470,140442,108497,1458524
2020,2,능동,11215780,102089,134995,69184,1092105
2020,2,다산동,11140625,105958,121953,89964,523971
2020,2,답십리1동,11230600,92317,129713,54920,788242
2020,2,답십리2동,11230610,73999,98418,49579,875745
2020,2,당산1동,11560550,86256,107130,65382,745305
2020,2,당산2동,11560560,117229,158043,76415,1581310
2020,2,대림1동,11560700,85401,108577,62224,498978
2020,2,대림2동,11560710,115057,149784,80329,572540
2020,2,대림3동,11560720,74878,95373,54383,921696
2020,2,대방동,11590660,83411,112480,54342,1544903
2020,2,대조동,11380570,108611,123595,93626,851692
2020,2,대치1동,11680600,200339,278364,122313,809823
2020,2,대치2동,11680610,152398,177188,127608,1837367
2020,2,대치4동,11680630,155624,201765,109483,701081
2020,2,대학동,11620735,91823,115241,68405,8405183
2020,2,대흥동,11440600,116912,160796,73029,858570
2020,2,도곡1동,11680655,140526,177980,103073,1050609
2020,2,도곡2동,11680656,152699,191104,114294,990763
2020,2,도림동,11560585,86490,99885,73096,585885
2020,2,도봉1동,11320521,62549,90325,34773,8451468
2020,2,도봉2동,11320522,81102,101683,60520,1119031
2020,2,도화동,11440585,133013,151398,114629,625018
2020,2,독산1동,11545610,92922,109787,76056,2061921
2020,2,독산2동,11545620,61922,94324,29520,617174
2020,2,독산3동,11545630,77072,93418,60727,934985
2020,2,독산4동,11545640,86236,107298,65173,591045
2020,2,돈암1동,11290580,73030,82975,63085,488898
2020,2,돈암2동,11290590,,,,518335
2020,2,동선동,11290575,120546,171469,69622,724957
2020,2,동화동,11140665,101852,118512,85192,327045
2020,2,둔촌1동,11740690,,,,912178
2020,2,둔촌2동,11740700,75480,98771,52189,1550455
2020,2,등촌1동,11500520,91827,124093,59561,650741
2020,2,등촌2동,11500530,78546,86348,70744,910666
2020,2,등촌3동,11500535,117417,149161,85673,1060362
2020,2,마장동,11200540,93648,127874,59422,1035276
2020,2,마천1동,11710540,69721,99137,40304,575258
2020,2,마천2동,11710550,78312,125973,30651,890688
2020,2,망우3동,11260660,51802,68510,35094,962561
