연도,분기,행정동_코드,행정동_코드_명,월평균소득금액,지출총금액,추정매출액,유사_업종_점포_수,개업_점포_수,폐업_점포_수,프랜차이즈_점포_수,총_유동인구_수,집객시설_수,관공서_수,은행_수,종합병원_수,일반_병원_수,약국_수,유치원_수,초등학교_수,중학교_수,고등학교_수,대학교_수,백화점_수,슈퍼마켓_수,극장_수,숙박_시설_수,공항_수,철도_역_수,버스_터미널_수,지하철_역_수,버스_정거장_수,총_직장_인구_수,전체,1층,1층외,영역_면적,_merge
2020,1,11170700,보광동,2545653,962699000,17889726906.0,749,32,28,41,4872737,70,4.0,1.0,0.0,0.0,8.0,1.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,565.0,87865.0,98935.0,76795.0,715096,both
2020,1,11200520,왕십리2동,3474994,1614735000,8298283475.0,520,16,15,60,5354686,63,2.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,1070.0,83187.0,109989.0,56384.0,372425,both
2020,1,11200535,왕십리도선동,4015131,6769599000,27889378148.0,1791,71,49,161,5704385,189,4.0,4.0,0.0,2.0,20.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,3787.0,116356.0,132878.0,99835.0,710285,both
2020,1,11200540,마장동,3021967,4668958000,21092180804.0,2330,47,48,57,6324687,111,6.0,5.0,0.0,0.0,8.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.0,6773.0,86683.0,117459.0,55906.0,1035276,both
2020,1,11200550,사근동,3099614,4789303000,28315761692.0,893,43,25,192,4373484,128,5.0,3.0,1.0,0.0,10.0,0.0,2.0,1.0,2.0,52.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,34.0,409.0,106842.0,139450.0,74235.0,1169216,both
2020,1,11200560,행당1동,3900841,5469033000,32974621652.0,1201,39,46,149,5730530,130,9.0,4.0,0.0,2.0,13.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,30.0,1608.0,148575.0,139883.0,157268.0,573566,both
2020,1,11200570,행당2동,4408744,1360899000,11798135661.0,530,17,11,59,4443791,79,2.0,2.0,0.0,0.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,9.0,124586.0,167266.0,81905.0,457669,both
2020,1,11200580,응봉동,3858472,407874000,1285725135.0,296,8,4,19,3465866,56,3.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,583.0,82050.0,92137.0,71963.0,553662,both
2020,1,11200590,금호1가동,4010011,1025764000,6539383423.0,450,16,17,42,4082172,88,2.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,45.0,1349.0,92480.0,117966.0,66995.0,444872,both
2020,1,11200615,금호23가동,3751434,2033999000,15058633417.0,842,29,24,67,7030499,135,3.0,2.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,447.0,108308.0,136080.0,80535.0,631196,both
2020,1,11200620,금호4가동,4442144,2635847000,8021242388.0,552,16,10,55,3242120,84,3.0,3.0,0.0,0.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.0,691.0,98200.0,123297.0,73103.0,832333,both
2020,1,11200645,옥수동,4836487,2791848000,13436067418.0,825,39,24,76,3298833,129,4.0,2.0,0.0,0.0,10.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,45.0,1764.0,133437.0,157397.0,109477.0,1922027,both
2020,1,11200650,성수1가1동,3870717,2228884000,18647038146.0,977,50,26,66,2986535,83,4.0,2.0,0.0,0.0,4.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,33.0,2148.0,91312.0,114907.0,67717.0,1885875,both
2020,1,11200660,성수1가2동,3263294,5522595000,40653884782.0,1629,79,31,112,6312444,79,3.0,6.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,5342.0,105070.0,124328.0,85812.0,930086,both
