연도,분기,행정동_코드,행정동_코드_명,추정매출액,유사_업종_점포_수,개업_점포_수,폐업_점포_수,프랜차이즈_점포_수,전체,1층,1층외,영역_면적,집객시설_수,관공서_수,은행_수,종합병원_수,일반_병원_수,약국_수,유치원_수,초등학교_수,중학교_수,고등학교_수,대학교_수,백화점_수,슈퍼마켓_수,극장_수,숙박_시설_수,공항_수,철도_역_수,버스_터미널_수,지하철_역_수,버스_정거장_수,총_상주인구_수,총_직장_인구_수,총_유동인구_수
2020,1,11215730,군자동,41956713294,1233,35,33,120,87502.0,110347.0,64657.0,738025,135,5.0,5.0,,1.0,12.0,1.0,2.0,,,20.0,,,1.0,,,,,,23.0,19728,1356.0,5377666
2020,1,11215740,중곡1동,39569273097,1106,48,34,65,76883.0,91230.0,62535.0,614505,74,2.0,,,,10.0,1.0,,,,,,1.0,,,,,,,19.0,16503,4120.0,4552413
2020,1,11215750,중곡2동,34292154675,1130,44,39,78,71289.0,87958.0,54619.0,545542,104,2.0,4.0,,,14.0,1.0,1.0,,,,,,,,,,,2.0,21.0,22009,2261.0,5437606
2020,1,11215760,중곡3동,14276750537,869,40,29,63,67985.0,99027.0,36943.0,601866,97,3.0,1.0,,1.0,9.0,,2.0,,,,,1.0,,,,,,1.0,29.0,17079,860.0,5424691
2020,1,11215770,중곡4동,27983797295,1044,44,34,67,81422.0,114455.0,48389.0,2313468,105,2.0,2.0,,,7.0,,1.0,1.0,2.0,,,,,,,,,,37.0,29801,3137.0,7728066
2020,1,11215780,능동,17767351584,630,25,22,66,101015.0,137075.0,64954.0,1092105,47,4.0,,,1.0,5.0,,1.0,,1.0,,,,,,,,,1.0,5.0,11440,1369.0,2600331
2020,1,11215810,광장동,23039730779,1097,36,30,99,109780.0,145578.0,73982.0,2393761,139,5.0,9.0,,,9.0,3.0,3.0,3.0,1.0,11.0,,,,,,,,1.0,32.0,35891,5066.0,6723060
2020,1,11215820,자양1동,29791393450,1312,51,39,125,103772.0,117351.0,90194.0,568868,106,3.0,4.0,1.0,,14.0,1.0,1.0,,,2.0,,,,,,,,,17.0,22927,8810.0,9201605
2020,1,11215830,자양2동,13369920499,1038,31,25,89,88084.0,96289.0,79879.0,1657523,95,2.0,1.0,,,8.0,2.0,4.0,2.0,1.0,,,1.0,,,,,,,21.0,26501,2177.0,5318703
2020,1,11215840,자양3동,40729302109,1281,56,33,138,128937.0,135911.0,121963.0,1196419,105,2.0,6.0,,,8.0,2.0,2.0,1.0,1.0,1.0,1.0,,1.0,,,,,,30.0,29199,2008.0,7701288
