연도,분기,행정동_코드_명,행정동_코드,시세_전체,시세_1층,시세_1층외,영역_면적,월평균소득금액,지출총금액,추정매출액,유사_업종_점포_수,개업_점포_수,폐업_점포_수,프랜차이즈_점포_수,폐업률,개업률,업종_밀도,집객시설_수,관공서_수,은행_수,종합병원_수,일반_병원_수,약국_수,유치원_수,초등학교_수,중학교_수,고등학교_수,대학교_수,백화점_수,슈퍼마켓_수,극장_수,숙박_시설_수,공항_수,철도_역_수,버스_터미널_수,지하철_역_수,버스_정거장_수,집객시설_총계,총_유동인구_수,총_상주인구_수,총_직장인구_수
2020,1,동선동,11290575,117529.0,158931.0,76127.0,724957,2821008.0,9248991000.0,46017153273.0,1850,76,76,253,4.11,4.11,0.26,,,,,,,,,,,,,,,,,,,,,,8815879,15400,2112.0
2020,1,동화동,11140665,112150.0,126664.0,97637.0,327045,3621349.0,1516814000.0,14047169421.0,542,20,10,40,1.85,3.69,0.17,,,,,,,,,,,,,,,,,,,,,,3091253,10843,1183.0
2020,1,둔촌1동,11740690,,,,912178,3596734.0,23576000.0,,32,0,3,3,9.38,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,10984,268,
2020,1,둔촌2동,11740700,70079.0,91457.0,48702.0,1550455,3414406.0,3085277000.0,18196588552.0,1124,39,25,89,2.22,3.47,0.07,,,,,,,,,,,,,,,,,,,,,,8380409,27648,2842.0
2020,1,등촌1동,11500520,101457.0,139494.0,63419.0,650741,3322838.0,6318096000.0,64801666919.0,1295,53,39,153,3.01,4.09,0.2,,,,,,,,,,,,,,,,,,,,,,5045151,23367,5201.0
2020,1,등촌2동,11500530,93808.0,90672.0,96943.0,910666,3352636.0,2314212000.0,7282103576.0,533,18,11,49,2.06,3.38,0.06,,,,,,,,,,,,,,,,,,,,,,4109846,21752,2566.0
2020,1,등촌3동,11500535,124563.0,151720.0,97406.0,1060362,3403390.0,7788177000.0,49391372500.0,1882,98,78,217,4.14,5.21,0.18,,,,,,,,,,,,,,,,,,,,,,5502006,32405,13486.0
2020,1,마장동,11200540,86683.0,117459.0,55906.0,1035276,3021967.0,4668958000.0,21092180804.0,2330,47,48,57,2.06,2.02,0.23,,,,,,,,,,,,,,,,,,,,,,6324687,23348,6773.0
2020,1,마천1동,11710540,58439.0,85543.0,31335.0,575258,2435636.0,1436292000.0,17999319039.0,664,28,22,44,3.31,4.22,0.12,,,,,,,,,,,,,,,,,,,,,,4096311,20581,622.0
2020,1,마천2동,11710550,70177.0,104499.0,35855.0,890688,2339431.0,3268006000.0,24507265292.0,941,40,24,67,2.55,4.25,0.11,,,,,,,,,,,,,,,,,,,,,,6103649,20030,1635.0
2020,1,망우3동,11260660,46838.0,66780.0,26897.0,962561,2231082.0,1084563000.0,10832112786.0,547,21,18,36,3.29,3.84,0.06,,,,,,,,,,,,,,,,,,,,,,5049120,17496,423.0
2020,1,망우본동,11260655,63296.0,80079.0,46512.0,2948109,2443681.0,6090602000.0,47087100811.0,1775,62,73,146,4.11,3.49,0.06,,,,,,,,,,,,,,,,,,,,,,9805368,30726,1589.0
2020,1,망원1동,11440690,107160.0,138108.0,76212.0,1101005,2802536.0,4660592000.0,35407577690.0,1409,55,38,88,2.7,3.9,0.13,,,,,,,,,,,,,,,,,,,,,,6466857,16504,2980.0
2020,1,망원2동,11440700,110348.0,123015.0,97680.0,676411,2912810.0,2831968000.0,23013761163.0,1105,32,26,78,2.35,2.9,0.16,,,,,,,,,,,,,,,,,,,,,,6840919,14468,4621.0
2020,1,면목2동,11260520,57289.0,75998.0,38579.0,763122,2322173.0,2977401000.0,15820515109.0,1094,46,32,57,2.93,4.2,0.14,,,,,,,,,,,,,,,,,,,,,,6953351,25638,1066.0
2020,1,면목38동,11260575,68546.0,86897.0,50195.0,1614117,2354962.0,3225144000.0,27031547900.0,1369,57,49,111,3.58,4.16,0.08,,,,,,,,,,,,,,,,,,,,,,6999538,26316,1713.0
2020,1,면목4동,11260540,48376.0,68950.0,27801.0,843466,2573570.0,728519000.0,9394978843.0,577,22,21,38,3.64,3.81,0.07,,,,,,,,,,,,,,,,,,,,,,6022143,19810,769.0
2020,1,면목5동,11260550,60955.0,70552.0,51357.0,704936,2233073.0,1504624000.0,8748193542.0,407,18,11,25,2.7,4.42,0.06,,,,,,,,,,,,,,,,,,,,,,2418625,9571,991.0
2020,1,면목7동,11260570,95457.0,139059.0,51855.0,1236134,2655671.0,3140483000.0,34260002287.0,981,41,36,55,3.67,4.18,0.08,,,,,,,,,,,,,,,,,,,,,,8016605,21358,946.0
2020,1,면목본동,11260565,74416.0,97154.0,51678.0,849019,2336892.0,3185578000.0,43391682601.0,1588,62,53,109,3.34,3.9,0.19,,,,,,,,,,,,,,,,,,,,,,10926104,35487,1335.0
2020,1,명동,11140550,185537.0,229724.0,141351.0,969729,3733600.0,47775806000.0,186121893053.0,4697,120,102,544,2.17,2.55,0.48,,,,,,,,,,,,,,,,,,,,,,5055905,2675,123928.0
2020,1,명일1동,11740530,86716.0,112232.0,61200.0,634942,3540203.0,5272778000.0,40834553799.0,1429,59,48,146,3.36,4.13,0.23,,,,,,,,,,,,,,,,,,,,,,5187682,21639,3780.0
2020,1,명일2동,11740540,91242.0,125678.0,56806.0,914329,4514278.0,3966441000.0,38071581845.0,1033,36,33,130,3.19,3.48,0.11,,,,,,,,,,,,,,,,,,,,,,2281495,17726,2521.0
