연도,분기,행정동_코드,행정동_코드_명,추정매출액,월평균소득금액,지출_총금액,총_유동인구_수,총_상주인구_수,총_직장_인구_수,전체_임대시세,1층_임대시세,1층외_임대시세,영역_면적,집객시설_수,유사_업종_점포_수,개업_점포_수,폐업_점포_수,프랜차이즈_점포_수
2020,1,11500641,방화3동,8793974188,3044446,1586249000,3422942,24360,2527.0,109219.0,151230.0,67207.0,2558908.0,83,529,21,16,53
2020,1,11305595,번1동,55151516953,2303972,5555529000,8399030,19255,2250.0,76791.0,97625.0,55957.0,627036.0,136,1345,53,42,111
2020,1,11305603,번2동,5398437451,2308539,605122000,3563696,17027,337.0,85545.0,80947.0,90143.0,974298.0,110,324,10,10,19
2020,1,11305608,번3동,11427076943,2548326,2025609000,4006974,18250,207.0,74752.0,100392.0,49113.0,1081177.0,95,392,14,17,55
2020,1,11170700,보광동,17889726906,2545653,962699000,4872737,14393,565.0,87865.0,98935.0,76795.0,715096.0,70,749,32,28,41
2020,1,11620525,보라매동,20638880680,2529995,12412383000,4660369,23821,1634.0,82183.0,99420.0,64945.0,750225.0,83,1262,77,42,100
2020,1,11290610,보문동,12402722973,3162623,2410737000,6563577,15008,3276.0,73929.0,93921.0,53936.0,553006.0,77,726,20,18,60
2020,1,11110550,부암동,3040761691,3647449,1002078000,1289447,9987,1514.0,88620.0,107264.0,69977.0,2274739.0,84,454,16,11,32
2020,1,11410710,북가좌1동,2379670680,4005416,1580595000,3356952,18893,422.0,87724.0,98085.0,77363.0,577979.0,60,443,16,16,54
2020,1,11410720,북가좌2동,31753983479,2590646,2956584000,13364721,33505,1307.0,68351.0,93057.0,43646.0,824866.0,115,1120,32,29,109
2020,1,11410555,북아현동,10614484803,4172659,2001557000,15414492,16782,1204.0,88597.0,104061.0,73132.0,458945.0,76,677,25,20,58
2020,1,11380520,불광1동,35482171102,3182963,5309331000,7400360,40763,2010.0,90182.0,115758.0,64607.0,3124927.0,198,1341,82,49,131
2020,1,11380530,불광2동,22550768583,2396457,3571210000,6483394,29233,2110.0,100039.0,121774.0,78303.0,1396089.0,113,1061,38,28,56
2020,1,11200550,사근동,28315761692,3099614,4789303000,4373484,11680,409.0,106842.0,139450.0,74235.0,1169216.0,128,893,43,25,192
2020,1,11590620,사당1동,45642997456,2855173,6571674000,7685427,23335,3764.0,96839.0,118625.0,75054.0,635172.0,126,1435,66,40,131
2020,1,11590630,사당2동,58399563781,3884988,6832523000,8418193,28212,1976.0,126197.0,144351.0,108042.0,2763201.0,179,1503,48,46,165
2020,1,11590640,사당3동,7798319935,3890035,2562979000,5809660,25822,919.0,104896.0,129235.0,80557.0,907684.0,88,718,20,17,62
2020,1,11590650,사당4동,18537054425,2844168,2005846000,4082730,14658,1255.0,82373.0,115594.0,49152.0,436148.0,62,544,27,18,51
2020,1,11590651,사당5동,4043993849,3047661,561037000,3177397,12800,1460.0,74165.0,90373.0,57956.0,682199.0,61,350,14,4,35
2020,1,11110530,사직동,56656503365,5007768,38784512000,3962616,9386,44477.0,141584.0,177228.0,105939.0,1158536.0,206,2654,79,73,188
2020,1,11305575,삼각산동,9220110969,3734477,2307013000,3582276,32809,335.0,131515.0,126021.0,137008.0,621911.0,114,709,27,28,76
2020,1,11290555,삼선동,39881271925,3057377,4780693000,10329237,25380,4636.0,80768.0,108223.0,53313.0,926227.0,163,1425,44,48,100
2020,1,11680580,삼성1동,293921053060,5098096,155614249000,5221837,14671,159167.0,205426.0,204428.0,206425.0,1944629.0,199,3426,131,77,283
2020,1,11680590,삼성2동,95886003592,5055114,11061756000,10146138,30227,58014.0,143933.0,163184.0,124682.0,1242271.0,177,2791,107,81,217
2020,1,11620745,삼성동,8222529185,2593695,1591879000,8272206,25120,879.0,53347.0,71317.0,35377.0,2604386.0,94,651,27,26,23
2020,1,11305534,삼양동,14113279854,2473211,2718628000,12189170,25278,462.0,68855.0,82587.0,55123.0,924092.0,165,678,13,15,60
2020,1,11710610,삼전동,56709108223,2779980,6350909000,7603618,32314,4176.0,101106.0,143300.0,58912.0,953338.0,118,1631,73,82,150
2020,1,11110540,삼청동,16495570845,3442534,1684064000,896467,2717,3911.0,114598.0,171226.0,57970.0,1479255.0,49,680,21,17,46
2020,1,11350720,상계10동,2814603080,3132098,712091000,2621253,16569,344.0,105615.0,148789.0,62442.0,809214.0,64,309,4,5,22
