요청구,연도,분기,NM,GUBUN,전체,1층,1층외
종로구,2024,3,숭인1동,dong,96054.0,137967.0,54141.0
종로구,2024,3,숭인2동,dong,166477.0,192147.0,140807.0
종로구,2024,4,종로구,gu,188914.0,222029.0,155799.0
종로구,2024,4,청운효자동,dong,158296.0,209717.0,106875.0
종로구,2024,4,사직동,dong,183418.0,232820.0,134017.0
종로구,2024,4,삼청동,dong,187508.0,187508.0,
종로구,2024,4,부암동,dong,123079.0,145132.0,101026.0
종로구,2024,4,평창동,dong,85049.0,85661.0,84438.0
종로구,2024,4,무악동,dong,144691.0,144691.0,
종로구,2024,4,교남동,dong,199675.0,210928.0,188422.0
종로구,2024,4,가회동,dong,156854.0,204311.0,109398.0
종로구,2024,4,종로1·2·3·4가동,dong,195252.0,259056.0,131449.0
종로구,2024,4,종로5·6가동,dong,247939.0,245320.0,250557.0
종로구,2024,4,이화동,dong,118655.0,151725.0,85585.0
종로구,2024,4,혜화동,dong,127378.0,164899.0,89856.0
종로구,2024,4,창신1동,dong,214549.0,268665.0,160434.0
종로구,2024,4,창신2동,dong,105859.0,111214.0,100504.0
종로구,2024,4,창신3동,dong,258053.0,258053.0,
종로구,2024,4,숭인1동,dong,90217.0,127200.0,53235.0
종로구,2024,4,숭인2동,dong,164660.0,187109.0,142212.0
종로구,2025,1,종로구,gu,187083.0,224435.0,149732.0
종로구,2025,1,청운효자동,dong,133792.0,193484.0,74099.0
종로구,2025,1,사직동,dong,184144.0,237923.0,130366.0
종로구,2025,1,삼청동,dong,141937.0,183831.0,100044.0
종로구,2025,1,부암동,dong,122759.0,151851.0,93667.0
종로구,2025,1,평창동,dong,80260.0,83163.0,77358.0
종로구,2025,1,무악동,dong,,,
종로구,2025,1,교남동,dong,209438.0,221892.0,196984.0
종로구,2025,1,가회동,dong,167750.0,221554.0,113946.0
종로구,2025,1,종로1·2·3·4가동,dong,198282.0,264939.0,131624.0
종로구,2025,1,종로5·6가동,dong,234267.0,233066.0,235468.0
종로구,2025,1,이화동,dong,115284.0,160882.0,69686.0
종로구,2025,1,혜화동,dong,136613.0,171287.0,101940.0
종로구,2025,1,창신1동,dong,235923.0,299027.0,172819.0
종로구,2025,1,창신2동,dong,109144.0,120144.0,98145.0
종로구,2025,1,창신3동,dong,163407.0,256216.0,70599.0
종로구,2025,1,숭인1동,dong,91283.0,125837.0,56729.0
종로구,2025,1,숭인2동,dong,163932.0,182494.0,145369.0
종로구,2025,2,종로구,gu,194758.0,224314.0,165202.0
종로구,2025,2,청운효자동,dong,126013.0,174717.0,77310.0
종로구,2025,2,사직동,dong,190504.0,239208.0,141800.0
종로구,2025,2,삼청동,dong,140451.0,185681.0,95221.0
종로구,2025,2,부암동,dong,115310.0,154434.0,76186.0
종로구,2025,2,평창동,dong,95351.0,92203.0,98498.0
종로구,2025,2,무악동,dong,,,
종로구,2025,2,교남동,dong,188029.0,151734.0,224323.0
종로구,2025,2,가회동,dong,169345.0,213986.0,124703.0
종로구,2025,2,종로1·2·3·4가동,dong,208133.0,272164.0,144102.0
종로구,2025,2,종로5·6가동,dong,267960.0,258064.0,277856.0
종로구,2025,2,이화동,dong,117587.0,161453.0,73721.0
종로구,2025,2,혜화동,dong,131300.0,162353.0,100248.0
종로구,2025,2,창신1동,dong,211461.0,259965.0,162957.0
종로구,2025,2,창신2동,dong,102997.0,124776.0,81218.0
종로구,2025,2,창신3동,dong,83228.0,108267.0,58189.0
종로구,2025,2,숭인1동,dong,102181.0,117254.0,87108.0
종로구,2025,2,숭인2동,dong,151070.0,174700.0,127440.0
종로구,2025,3,종로구,gu,196376.0,227058.0,165693.0
종로구,2025,3,청운효자동,dong,123337.0,166061.0,80613.0
종로구,2025,3,사직동,dong,204275.0,266517.0,142032.0
종로구,2025,3,삼청동,dong,136543.0,178565.0,94522.0
종로구,2025,3,부암동,dong,111956.0,156072.0,67841.0
종로구,2025,3,평창동,dong,98546.0,89655.0,107438.0
종로구,2025,3,무악동,dong,174125.0,174125.0,
종로구,2025,3,교남동,dong,213830.0,203336.0,224323.0
종로구,2025,3,가회동,dong,169212.0,214669.0,123755.0
종로구,2025,3,종로1·2·3·4가동,dong,207284.0,273879.0,140688.0
종로구,2025,3,종로5·6가동,dong,280104.0,268698.0,291510.0
종로구,2025,3,이화동,dong,117433.0,158011.0,76855.0
종로구,2025,3,혜화동,dong,129408.0,159029.0,99788.0
종로구,2025,3,창신1동,dong,196065.0,227438.0,164692.0
종로구,2025,3,창신2동,dong,108751.0,139150.0,78353.0
종로구,2025,3,창신3동,dong,91054.0,115646.0,66463.0
종로구,2025,3,숭인1동,dong,110062.0,131201.0,88923.0
종로구,2025,3,숭인2동,dong,153828.0,182743.0,124913.0
종로구,2025,4,종로구,gu,,,
종로구,2025,4,청운효자동,dong,,,
종로구,2025,4,사직동,dong,,,
종로구,2025,4,삼청동,dong,,,
종로구,2025,4,부암동,dong,,,
종로구,2025,4,평창동,dong,,,
종로구,2025,4,무악동,dong,,,
종로구,2025,4,교남동,dong,,,
종로구,2025,4,가회동,dong,,,
종로구,2025,4,종로1·2·3·4가동,dong,,,
종로구,2025,4,종로5·6가동,dong,,,
종로구,2025,4,이화동,dong,,,
종로구,2025,4,혜화동,dong,,,
종로구,2025,4,창신1동,dong,,,
종로구,2025,4,창신2동,dong,,,
종로구,2025,4,창신3동,dong,,,
종로구,2025,4,숭인1동,dong,,,
종로구,2025,4,숭인2동,dong,,,
중구,2020,1,중구,gu,243016.0,245466.0,240567.0
중구,2020,1,소공동,dong,178363.0,237841.0,118886.0
중구,2020,1,회현동,dong,345216.0,380702.0,309730.0
중구,2020,1,명동,dong,185537.0,229724.0,141351.0
중구,2020,1,필동,dong,120813.0,160609.0,81017.0
중구,2020,1,장충동,dong,94992.0,109530.0,80455.0
중구,2020,1,광희동,dong,208443.0,219236.0,197649.0
중구,2020,1,을지로동,dong,132399.0,180007.0,84791.0
중구,2020,1,신당동,dong,381333.0,377840.0,384826.0
중구,2020,1,다산동,dong,102327.0,114196.0,90459.0
중구,2020,1,약수동,dong,125584.0,185654.0,65513.0
중구,2020,1,청구동,dong,73679.0,71725.0,75633.0
중구,2020,1,신당5동,dong,126261.0,116037.0,136485.0
중구,2020,1,동화동,dong,112150.0,126664.0,97637.0
중구,2020,1,황학동,dong,110439.0,130424.0,90455.0
