"상권별(1)",상권별(2),상권별(3),2022.1/4,2022.2/4,2022.3/4,2022.4/4,2023.1/4,2023.2/4,2023.3/4,2023.4/4,2024.1/4,2024.2/4
"전북",전주동부,소계,24.2,26.4,24.8,26.7,28.2,25.6,29.8,29.6,28.9,27.3
"전북",전주서부,소계,10.0,10.0,10.0,8.8,8.0,9.3,7.1,5.9,8.1,9.7
"전북",전주서부신시가지,소계,5.6,5.6,6.5,9.5,9.5,9.5,8.5,16.6,16.9,12.8
"전북",정읍중심,소계,27.0,29.2,29.2,28.1,28.1,28.1,26.3,26.2,26.2,28.2
"전남",소계,소계,10.9,11.4,12.2,12.0,12.0,12.8,13.1,13.1,14.1,13.7
"전남",광양읍,소계,15.4,13.2,11.4,11.4,11.4,16.3,16.3,16.3,18.8,17.2
"전남",광양중동,소계,11.2,10.6,10.6,13.3,13.3,12.6,11.9,10.0,10.0,10.0
"전남",나주구시가지,소계,7.6,7.6,9.1,9.1,9.1,10.4,12.6,12.0,12.0,12.0
"전남",목포구도심,소계,17.4,17.4,16.2,21.7,18.9,19.4,21.6,20.6,22.3,22.4
"전남",무선지구,소계,3.8,3.8,5.0,3.8,3.8,3.8,6.1,8.1,8.1,8.1
"전남",순천법원,소계,3.2,3.2,2.7,2.1,1.7,5.0,5.6,6.8,8.0,7.1
"전남",순천원도심,소계,18.9,20.5,20.5,20.1,21.1,22.8,22.8,25.4,29.7,29.3
"전남",여수여문,소계,7.6,7.6,10.7,10.7,11.6,11.6,11.6,12.9,11.7,9.7
"전남",여수원도심,소계,22.7,26.2,26.2,22.7,25.9,28.6,31.2,27.2,27.7,26.3
"전남",여수학동,소계,10.4,10.4,11.5,8.6,10.4,10.4,8.6,10.6,10.6,10.6
"전남",조례,소계,8.3,7.4,15.6,12.6,11.7,11.1,10.4,10.4,10.4,8.0
"전남",하당신도심,소계,15.2,18.4,16.2,16.2,15.3,11.9,10.4,10.4,13.8,17.4
"경북",소계,소계,18.4,18.7,19.1,19.9,20.2,19.5,19.8,19.7,19.9,20.6
"경북",가흥택지개발지구,소계,9.8,7.8,2.7,5.1,5.1,2.7,0.0,2.5,2.6,5.2
"경북",경주도심,소계,10.4,10.4,11.4,13.7,11.2,11.2,11.4,11.4,15.3,15.3
"경북",구미산업단지,소계,27.5,28.4,27.5,27.5,27.5,27.5,27.5,23.2,23.2,26.8
"경북",구미선주원남동,소계,15.4,22.3,16.1,15.3,9.2,9.2,9.2,6.9,8.0,9.9
"경북",구미역,소계,21.8,21.8,21.6,22.5,23.4,23.2,23.2,23.5,26.2,26.1
"경북",문경점촌흥덕,소계,19.3,20.0,20.7,20.0,21.1,21.5,21.2,20.6,22.0,22.4
"경북",상주동문동,소계,19.1,19.1,19.9,18.9,20.8,21.2,23.2,24.6,22.8,21.7
"경북",안동구도심,소계,12.2,11.9,12.4,15.5,15.8,15.2,15.2,16.4,16.2,17.4
"경북",양덕동,소계,16.7,16.3,16.2,16.2,14.2,11.4,13.6,12.9,15.5,15.5
"경북",영일대해수욕장,소계,17.5,18.9,24.6,24.6,24.0,19.1,21.2,20.9,19.5,19.5
"경북",영주중앙,소계,32.9,36.1,36.1,39.4,39.9,38.3,41.3,38.8,38.8,38.8
"경북",옥동사거리,소계,17.0,15.9,21.7,22.3,22.3,23.2,23.1,22.8,16.8,15.8
"경북",포항도심,소계,23.0,23.4,25.7,27.3,27.8,27.7,26.5,25.8,24.9,26.5
"경남",소계,소계,14.8,15.1,14.8,14.4,15.2,16.4,17.0,16.7,17.2,17.7
