지역코드,지역명,1층_임대시세_최근1분기,1층_임대시세_최근2분기,1층_임대시세_최근3분기,기타층_임대시세_최근1분기,기타층_임대시세_최근2분기,기타층_임대시세_최근3분기,연도,분기
11560535,영등포동,116882,118768,125932,95256,105698,135432,2020,1
11560540,여의동,214929,211045,198252,100953,101578,95882,2020,1
11560550,당산1동,95363,90347,92233,52366,50991,54194,2020,1
11560560,당산2동,139029,159634,142867,69508,75098,70817,2020,1
11560585,도림동,78083,82382,93745,49200,48685,46241,2020,1
11560605,문래동,99272,95251,99035,78976,70017,75114,2020,1
11560610,양평1동,95644,98007,92632,55799,59719,53278,2020,1
11560620,양평2동,103523,99492,106151,81029,76522,68628,2020,1
11560630,신길1동,106051,117418,119431,64454,52253,82124,2020,1
11560650,신길3동,114382,102953,91988,61355,58640,32470,2020,1
11560660,신길4동,77096,68973,73989,35134,36576, ,2020,1
11560670,신길5동,81190,76961,85181,38626,43783, ,2020,1
11560680,신길6동,99439,102000,104042,61740,88209,79568,2020,1
11560690,신길7동,96103,102424,122067,162795,95720,119116,2020,1
11560700,대림1동,106990,109978,103900,54808,57216,63706,2020,1
11560710,대림2동,125304,109612,166807,70756,65988,72568,2020,1
11560720,대림3동,90307,96802,106735,42055,44281,45332,2020,1
11590,동작구,132392,132862,132622,77071,76679,77631,2020,1
11590510,노량진1동,163028,183717,192574,98454,94613,82842,2020,1
11590520,노량진2동,140995,139108,122706,83591,97049,93666,2020,1
11590530,상도1동,145612,127364,119218,74402,72021,78749,2020,1
11590540,상도2동,138059,131626,138636,79235,90134,94542,2020,1
11590550,상도3동,139816,181510,182526,59153,54004,56937,2020,1
11590560,상도4동,92183,91103,97402,45193,44956,53948,2020,1
11590605,흑석동,133685,126715,128533,74656,70370,76452,2020,1
11590620,사당1동,116876,120628,118625,71426,69221,75054,2020,1
11590630,사당2동,164087,153074,144351,101011,101364,108042,2020,1
11590640,사당3동,136607,127787,129235,76531,72395,80557,2020,1
11590650,사당4동,108270,105017,115594,62983,62983,49152,2020,1
11590651,사당5동,77300,79669,90373,53874,53945,57956,2020,1
11590660,대방동,119862,111946,109425,68760,64907,55187,2020,1
11590670,신대방1동,119670,120545,132295,59606,51124,44631,2020,1
11590680,신대방2동,149860,143713,132805,60908,60388,68907,2020,1
11620,관악구,123357,123159,124404,76866,74094,71939,2020,1
11620525,보라매동,112021,101211,99420,61721,65385,64945,2020,1
11620545,청림동,105290,82661,80453,192494, , ,2020,1
11620565,성현동,81406,126406,132174,61759,58569,67046,2020,1
11620575,행운동,108261,105926,105537,78889,79906,71513,2020,1
11620585,낙성대동,141693,146171,151355,63026,59522,65187,2020,1
11620595,청룡동,155787,150945,143819,68436,63786,64176,2020,1
11620605,은천동,141263,136851,124978,55473,57980,50385,2020,1
11620615,중앙동,126228,127136,125894,79902,76285,73219,2020,1
11620625,인헌동,118310,121273,128995,50697,45521,52502,2020,1
11620630,남현동,129093,126542,126785,88266,81281,93436,2020,1
11620645,서원동,180367,188047,171781,120148,100946,111801,2020,1
11620655,신원동,157448,130258,134091,51336,55494,70931,2020,1
11620665,서림동,102231,99301,92786,52620,52720,127640,2020,1
11620685,신사동,93175,107389,119641,44475,47174,44068,2020,1
11620695,신림동,153055,154341,157747,95102,93506,99161,2020,1
11620715,난향동,89754,85423,104132,59752,61413,62129,2020,1
11620725,조원동,94455,95408,97006,52648,56674,48813,2020,1
11620735,대학동,116033,113720,119927,107228,117188,72332,2020,1
11620745,삼성동,77208,81439,71317,32763, ,35377,2020,1
11620765,미성동,92399,97488,99183,94903,86720,59065,2020,1
11620775,난곡동,150293,137578,150931,45037,74542,57484,2020,1
11650,서초구,136422,137769,141554,94125,98451,101477,2020,1
11650510,서초1동,141115,150150,159102,83742,80913,88882,2020,1
11650520,서초2동,150677,158897,140171,141575,140671,148782,2020,1
11650530,서초3동,122027,124952,138810,79181,95025,92229,2020,1
11650531,서초4동,142049,159064,198020,113779,118140,119359,2020,1
11650540,잠원동,146440,141502,136538,86918,107683,104664,2020,1
11650550,반포본동,131213,126957,119234,64711,75183,77517,2020,1
11650560,반포1동,174748,169843,161517,122277,118886,126643,2020,1
11650570,반포2동, , , ,208604,201265,169613,2020,1
11650580,반포3동,234070,227995,195925,88668,80771,91641,2020,1
11650581,반포4동,223591,226981,223274,111551,107331,119213,2020,1
11650590,방배본동,123124,121614,113316,57961,55945,57930,2020,1
11650600,방배1동,139502,139656,146013,67825,85630,85041,2020,1
11650610,방배2동,117846,116320,121072,85402,104608,102074,2020,1
11650620,방배3동,162377,184208,183670,57026,54086,59366,2020,1
11650621,방배4동,117420,118248,129396,74462,69011,79390,2020,1
11650651,양재1동,123982,129547,128771,77996,76174,76970,2020,1
11650652,양재2동,94934,88759,96567,70198,68919,74728,2020,1
11650660,내곡동,101961,102514,101799,134681,145245,122971,2020,1
11680,강남구,165285,167658,172542,113096,115972,119247,2020,1
11680510,신사동,175662,172531,170703,94989,90962,94296,2020,1
11680521,논현1동,154995,149328,147847,98618,100935,108812,2020,1
11680531,논현2동,143319,143721,146640,95501,109888,109871,2020,1
11680545,압구정동,208071,214182,207464,91085,87383,83906,2020,1
11680565,청담동,184141,183805,185754,112359,112646,120140,2020,1
